data,ora,citta1,citta2,citta3,citta4,citta5
2026-08-26,12:08:41,7,12,28,5,8
2026-08-26,12:27:30,16,26,16,20,12
2026-08-26,13:27:16,0,8,13,11,26
2026-08-26,13:32:23,21,24,10,24,12
2026-08-26,14:23:36,0,8,22,27,28
2026-08-26,15:56:40,26,13,1,30,8
2026-08-26,16:41:39,11,13,0,1,6
2026-08-26,18:21:46,30,1,20,3,13
2026-08-26,20:16:15,28,8,7,3,5
2026-08-26,23:47:19,30,9,10,23,14
2026-08-27,05:11:00,19,23,3,18,12
2026-08-27,16:28:30,24,18,9,9,7
2026-08-28,01:02:13,30,15,11,1,8
2026-08-28,12:43:19,18,21,4,21,5
2026-08-28,22:39:11,5,25,17,9,0
2026-08-29,03:51:03,27,14,14,29,29
2026-08-29,10:29:52,7,10,1,4,11
2026-08-29,15:10:38,8,9,27,10,23
2026-08-29,18:25:12,0,3,30,0,28
2026-08-29,21:01:20,14,15,28,6,14
2026-08-29,23:15:36,6,6,25,27,16
2026-08-30,01:20:57,25,12,4,2,16
2026-08-30,06:50:44,3,18,5,25,26
2026-08-30,12:20:03,12,23,16,9,9
2026-08-30,16:49:55,8,22,10,16,29
2026-08-30,19:31:42,10,0,19,26,23
2026-08-30,22:02:48,26,13,16,13,12
2026-08-31,00:32:16,12,23,16,16,28
2026-08-31,06:06:17,22,0,25,0,1
2026-08-31,13:38:08,8,25,30,24,18
